Date : 2026-08-20 00:52:30
Directory : c:\Users\Пользователь\Desktop\python\Clarity
Total : 71 files,  2679 codes, 140 comments, 555 blanks, all 3374 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Python           |         64 |      1,832 |        139 |        315 |      2,286 |
| Markdown         |          1 |        655 |          0 |        206 |        861 |
| Ini              |          1 |        123 |          0 |         27 |        150 |
| YAML             |          1 |         27 |          0 |          2 |         29 |
| pip requirements |          1 |         23 |          0 |          0 |         23 |
| Docker           |          1 |          8 |          0 |          5 |         13 |
| Dotenv           |          1 |          7 |          0 |          0 |          7 |
| Shell Script     |          1 |          4 |          1 |          0 |          5 |
+------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                  |         71 |      2,679 |        140 |        555 |      3,374 |
| . (Files)                                                                                          |          9 |        929 |         21 |        253 |      1,203 |
| alembic                                                                                            |          2 |         56 |         21 |         21 |         98 |
| alembic (Files)                                                                                    |          1 |         45 |         11 |         13 |         69 |
| alembic\versions                                                                                   |          1 |         11 |         10 |          8 |         29 |
| api                                                                                                |          6 |        157 |         15 |         34 |        206 |
| api\v1                                                                                             |          6 |        157 |         15 |         34 |        206 |
| core                                                                                               |          6 |        204 |          3 |         43 |        250 |
| models                                                                                             |          6 |         60 |          0 |         11 |         71 |
| repositories                                                                                       |          6 |        391 |         47 |         57 |        495 |
| schemas                                                                                            |          7 |        100 |          5 |         29 |        134 |
| services                                                                                           |          7 |        369 |         23 |         38 |        430 |
| tests                                                                                              |         19 |        386 |          1 |         67 |        454 |
| tests (Files)                                                                                      |          2 |         94 |          1 |         11 |        106 |
| tests\test_api                                                                                     |          6 |        292 |          0 |         45 |        337 |
| tests\test_repositories                                                                            |          5 |          0 |          0 |          5 |          5 |
| tests\test_services                                                                                |          6 |          0 |          0 |          6 |          6 |
| utils                                                                                              |          3 |         27 |          4 |          2 |         33 |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                           | language         | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\Users\Пользователь\Desktop\python\Clarity\.env                                                  | Dotenv           |          7 |          0 |          0 |          7 |
| c:\Users\Пользователь\Desktop\python\Clarity\Dockerfile                                            | Docker           |          8 |          0 |          5 |         13 |
| c:\Users\Пользователь\Desktop\python\Clarity\README.md                                             | Markdown         |        655 |          0 |        206 |        861 |
| c:\Users\Пользователь\Desktop\python\Clarity\ai_commit.py                                          | Python           |         57 |         20 |          9 |         86 |
| c:\Users\Пользователь\Desktop\python\Clarity\alembic.ini                                           | Ini              |        123 |          0 |         27 |        150 |
| c:\Users\Пользователь\Desktop\python\Clarity\alembic\env.py                                        | Python           |         45 |         11 |         13 |         69 |
| c:\Users\Пользователь\Desktop\python\Clarity\alembic\versions\5176abe5d497_.py                     | Python           |         11 |         10 |          8 |         29 |
| c:\Users\Пользователь\Desktop\python\Clarity\api\v1\__init__.py                                    | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Пользователь\Desktop\python\Clarity\api\v1\auth.py                                        | Python           |         20 |          0 |          5 |         25 |
| c:\Users\Пользователь\Desktop\python\Clarity\api\v1\invitations.py                                 | Python           |         23 |          4 |          6 |         33 |
| c:\Users\Пользователь\Desktop\python\Clarity\api\v1\projects.py                                    | Python           |         53 |          5 |         10 |         68 |
| c:\Users\Пользователь\Desktop\python\Clarity\api\v1\tasks.py                                       | Python           |         48 |          5 |          9 |         62 |
| c:\Users\Пользователь\Desktop\python\Clarity\api\v1\user.py                                        | Python           |         13 |          1 |          3 |         17 |
| c:\Users\Пользователь\Desktop\python\Clarity\core\__init__.py                                      | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Пользователь\Desktop\python\Clarity\core\config.py                                        | Python           |         53 |          2 |         12 |         67 |
| c:\Users\Пользователь\Desktop\python\Clarity\core\database.py                                      | Python           |          6 |          0 |          3 |          9 |
| c:\Users\Пользователь\Desktop\python\Clarity\core\dependencies.py                                  | Python           |         33 |          0 |          3 |         36 |
| c:\Users\Пользователь\Desktop\python\Clarity\core\exceptions.py                                    | Python           |         89 |          1 |         20 |        110 |
| c:\Users\Пользователь\Desktop\python\Clarity\core\security.py                                      | Python           |         23 |          0 |          4 |         27 |
