Date : 2026-08-20 00:52:30
Directory : c:\Users\Пользователь\Desktop\python\Clarity
Total : 71 files,  2679 codes, 140 comments, 555 blanks, all 3374 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\Пользователь\Desktop\python\Clarity\docker-compose.yaml                                   | YAML             |         27 |          0 |          2 |         29 |
| c:\Users\Пользователь\Desktop\python\Clarity\entrypoint.sh                                         | Shell Script     |          4 |          1 |          0 |          5 |
| c:\Users\Пользователь\Desktop\python\Clarity\main.py                                               | Python           |         25 |          0 |          4 |         29 |
| c:\Users\Пользователь\Desktop\python\Clarity\models\__init__.py                                    | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Пользователь\Desktop\python\Clarity\models\project.py                                     | Python           |          9 |          0 |          2 |         11 |
| c:\Users\Пользователь\Desktop\python\Clarity\models\project_invitations.py                         | Python           |         14 |          0 |          2 |         16 |
| c:\Users\Пользователь\Desktop\python\Clarity\models\project_members.py                             | Python           |         11 |          0 |          2 |         13 |
| c:\Users\Пользователь\Desktop\python\Clarity\models\task.py                                        | Python           |         15 |          0 |          2 |         17 |
| c:\Users\Пользователь\Desktop\python\Clarity\models\user.py                                        | Python           |         11 |          0 |          2 |         13 |
| c:\Users\Пользователь\Desktop\python\Clarity\repositories\__init__.py                              | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Пользователь\Desktop\python\Clarity\repositories\base.py                                  | Python           |          0 |          1 |          0 |          1 |
| c:\Users\Пользователь\Desktop\python\Clarity\repositories\project_invitation_repository.py         | Python           |         53 |          7 |          8 |         68 |
| c:\Users\Пользователь\Desktop\python\Clarity\repositories\project_repository.py                    | Python           |        164 |         17 |         20 |        201 |
| c:\Users\Пользователь\Desktop\python\Clarity\repositories\task_repository.py                       | Python           |         90 |          9 |         12 |        111 |
| c:\Users\Пользователь\Desktop\python\Clarity\repositories\user_repository.py                       | Python           |         84 |         13 |         16 |        113 |
| c:\Users\Пользователь\Desktop\python\Clarity\requirements.txt                                      | pip requirements |         23 |          0 |          0 |         23 |
| c:\Users\Пользователь\Desktop\python\Clarity\schemas\__init__.py                                   | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Пользователь\Desktop\python\Clarity\schemas\auth.py                                       | Python           |         15 |          1 |          4 |         20 |
| c:\Users\Пользователь\Desktop\python\Clarity\schemas\common.py                                     | Python           |         12 |          1 |          3 |         16 |
| c:\Users\Пользователь\Desktop\python\Clarity\schemas\invitation.py                                 | Python           |         14 |          0 |          4 |         18 |
| c:\Users\Пользователь\Desktop\python\Clarity\schemas\project.py                                    | Python           |         25 |          1 |          8 |         34 |
| c:\Users\Пользователь\Desktop\python\Clarity\schemas\task.py                                       | Python           |         23 |          1 |          5 |         29 |
| c:\Users\Пользователь\Desktop\python\Clarity\schemas\user.py                                       | Python           |         11 |          1 |          4 |         16 |
| c:\Users\Пользователь\Desktop\python\Clarity\services\__init__.py                                  | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Пользователь\Desktop\python\Clarity\services\auth_service.py                              | Python           |         52 |          3 |          2 |         57 |
| c:\Users\Пользователь\Desktop\python\Clarity\services\invitation_service.py                        | Python           |         71 |          0 |         14 |         85 |
| c:\Users\Пользователь\Desktop\python\Clarity\services\project_members_service.py                   | Python           |         26 |          0 |          3 |         29 |
| c:\Users\Пользователь\Desktop\python\Clarity\services\project_service.py                           | Python           |        105 |         10 |          9 |        124 |
| c:\Users\Пользователь\Desktop\python\Clarity\services\task_service.py                              | Python           |         92 |          8 |          7 |        107 |
| c:\Users\Пользователь\Desktop\python\Clarity\services\user_service.py                              | Python           |         23 |          2 |          2 |         27 |
| c:\Users\Пользователь\Desktop\python\Clarity\tests\__init__.py                                     | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Пользователь\Desktop\python\Clarity\tests\conftest.py                                     | Python           |         94 |          1 |         10 |        105 |
| c:\Users\Пользователь\Desktop\python\Clarity\tests\test_api\__init__.py                            | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Пользователь\Desktop\python\Clarity\tests\test_api\test_auth.py                           | Python           |         66 |          0 |          9 |         75 |
| c:\Users\Пользователь\Desktop\python\Clarity\tests\test_api\test_invitations.py                    | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Пользователь\Desktop\python\Clarity\tests\test_api\test_profile.py                        | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Пользователь\Desktop\python\Clarity\tests\test_api\test_projects.py                       | Python           |        226 |          0 |         32 |        258 |
| c:\Users\Пользователь\Desktop\python\Clarity\tests\test_api\test_tasks.py                          | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Пользователь\Desktop\python\Clarity\tests\test_repositories\__init__.py                   | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Пользователь\Desktop\python\Clarity\tests\test_repositories\test_invitation_repository.py | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Пользователь\Desktop\python\Clarity\tests\test_repositories\test_project_repository.py    | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Пользователь\Desktop\python\Clarity\tests\test_repositories\test_task_repository.py       | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Пользователь\Desktop\python\Clarity\tests\test_repositories\test_user_repository.py       | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Пользователь\Desktop\python\Clarity\tests\test_services\__init__.py                       | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Пользователь\Desktop\python\Clarity\tests\test_services\test_auth_service.py              | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Пользователь\Desktop\python\Clarity\tests\test_services\test_invitation_service.py        | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Пользователь\Desktop\python\Clarity\tests\test_services\test_project_service.py           | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Пользователь\Desktop\python\Clarity\tests\test_services\test_task_service.py              | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Пользователь\Desktop\python\Clarity\tests\test_services\test_user_service.py              | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Пользователь\Desktop\python\Clarity\utils\__init__.py                                     | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Пользователь\Desktop\python\Clarity\utils\decorators.py                                   | Python           |         27 |          3 |          1 |         31 |
| c:\Users\Пользователь\Desktop\python\Clarity\utils\logger_setuo.py                                 | Python           |          0 |          1 |          0 |          1 |
| Total                                                                                              |                  |      2,679 |        140 |        555 |      3,374 |
+----------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
